Date,Temperature,City
2003-04-01,9.2,Kardzhali
2003-10-01,13.2,Kardzhali
2004-04-01,12.0,Kardzhali
2004-10-01,14.7,Kardzhali
2005-04-01,11.9,Kardzhali
2005-10-01,12.2,Kardzhali
2006-04-01,12.3,Kardzhali
2006-10-01,13.8,Kardzhali
2007-04-01,11.9,Kardzhali
2007-10-01,13.4,Kardzhali
2008-04-01,12.7,Kardzhali
2008-10-01,13.6,Kardzhali
2009-04-01,11.5,Kardzhali
2009-10-01,13.4,Kardzhali
2010-04-01,11.9,Kardzhali
2010-10-01,10.8,Kardzhali
2011-04-01,10.2,Kardzhali
2011-10-01,10.9,Kardzhali
2012-04-01,13.2,Kardzhali
2012-10-01,16.4,Kardzhali
2013-04-01,13.3,Kardzhali
2013-10-01,12.3,Kardzhali
2014-04-01,12.1,Kardzhali
2014-10-01,12.3,Kardzhali
2015-04-01,11.0,Kardzhali
2015-10-01,12.6,Kardzhali
2016-04-01,14.9,Kardzhali
2016-10-01,12.7,Kardzhali
2017-04-01,11.6,Kardzhali
2017-10-01,12.4,Kardzhali
2018-04-01,15.8,Kardzhali
2018-10-01,14.2,Kardzhali
2019-04-01,11.7,Kardzhali
2019-10-01,14.8,Kardzhali
2020-04-01,10.8,Kardzhali
2020-10-01,15.4,Kardzhali
2021-04-01,10.3,Kardzhali
2021-10-01,11.1,Kardzhali
2022-04-01,12.1,Kardzhali
2022-10-01,14.6,Kardzhali
2023-04-01,10.7,Kardzhali
2023-10-01,16.8,Kardzhali
2024-04-01,15.2,Kardzhali
2024-10-01,13.9,Kardzhali
2025-04-01,11.5,Kardzhali
2025-10-01,12.4,Kardzhali
