Date,Temperature,City
2003-04-01,8.4,Sofia
2003-10-01,10.4,Sofia
2004-04-01,11.3,Sofia
2004-10-01,12.9,Sofia
2005-04-01,10.6,Sofia
2005-10-01,10.3,Sofia
2006-04-01,11.1,Sofia
2006-10-01,12.5,Sofia
2007-04-01,11.6,Sofia
2007-10-01,10.8,Sofia
2008-04-01,11.6,Sofia
2008-10-01,12.1,Sofia
2009-04-01,11.3,Sofia
2009-10-01,11.2,Sofia
2010-04-01,10.7,Sofia
2010-10-01,8.7,Sofia
2011-04-01,9.9,Sofia
2011-10-01,9.4,Sofia
2012-04-01,11.9,Sofia
2012-10-01,14.0,Sofia
2013-04-01,12.3,Sofia
2013-10-01,11.8,Sofia
2014-04-01,10.7,Sofia
2014-10-01,10.8,Sofia
2015-04-01,9.9,Sofia
2015-10-01,10.5,Sofia
2016-04-01,13.9,Sofia
2016-10-01,10.5,Sofia
2017-04-01,10.5,Sofia
2017-10-01,11.0,Sofia
2018-04-01,15.0,Sofia
2018-10-01,12.7,Sofia
2019-04-01,10.6,Sofia
2019-10-01,13.7,Sofia
2020-04-01,9.7,Sofia
2020-10-01,12.6,Sofia
2021-04-01,8.5,Sofia
2021-10-01,8.7,Sofia
2022-04-01,10.3,Sofia
2022-10-01,12.3,Sofia
2023-04-01,8.9,Sofia
2023-10-01,14.8,Sofia
2024-04-01,13.5,Sofia
2024-10-01,11.6,Sofia
2025-04-01,10.3,Sofia
2025-10-01,9.6,Sofia
