Date,Temperature,City
2003-04-01,8.6,Varna
2003-10-01,13,Varna
2004-04-01,11.6,Varna
2004-10-01,15.4,Varna
2005-04-01,10.8,Varna
2005-10-01,13.5,Varna
2006-04-01,10.9,Varna
2006-10-01,14.6,Varna
2007-04-01,10.7,Varna
2007-10-01,14.5,Varna
2008-04-01,12.6,Varna
2008-10-01,14.5,Varna
2009-04-01,11,Varna
2009-10-01,14.9,Varna
2010-04-01,11.6,Varna
2010-10-01,11.9,Varna
2011-04-01,9.6,Varna
2011-10-01,12,Varna
2012-04-01,12.8,Varna
2012-10-01,17.5,Varna
2013-04-01,12.3,Varna
2013-10-01,12.8,Varna
2014-04-01,11.5,Varna
2014-10-01,13.6,Varna
2015-04-01,10.9,Varna
2015-10-01,13.6,Varna
2016-04-01,13.3,Varna
2016-10-01,13.3,Varna
2017-04-01,9.1,Varna
2017-10-01,14,Varna
2018-04-01,13.1,Varna
2018-10-01,15.8,Varna
2019-04-01,10.7,Varna
2019-10-01,16.2,Varna
2020-04-01,11,Varna
2020-10-01,17.6,Varna
2021-04-01,9.8,Varna
2021-10-01,13.1,Varna
2022-04-01,11.5,Varna
2022-10-01,15.6,Varna
2023-04-01,11.1,Varna
2023-10-01,18.3,Varna
2024-04-01,15.4,Varna
2024-10-01,14.8,Varna
2025-04-01,10.1,Varna
2025-10-01,13.9,Varna
